governor,state,year,party
Jennifer M. Granholm,Michigan,2007,Democrat
Tim Pawlenty,Minnesota,2007,Republican
Haley Barbour,Mississippi,2007,Republican
Matt Blunt,Missouri,2007,Republican
Brian Schweitzer,Montana,2007,Democrat
Dave Heineman,Nebraska,2007,Republican
Jim Gibbons,Nevada,2007,Republican
John Lynch,New Hampshire,2007,Democrat
Jon Corzine,New Jersey,2007,Democrat
Bill Richardson,New Mexico,2007,Democrat
Eliot Spitzer,New York,2007,Democrat
Michael F. Easley,North Carolina,2007,Democrat
John Hoeven,North Dakota,2007,Republican
Benígno Fitial,Northern Mariana Islands,2007,Republican
Ted Strickland,Ohio,2007,Democrat
Brad Henry,Oklahoma,2007,Democrat
Ted Kulongoski,Oregon,2007,Democrat
Edward G. Rendell,Pennsylvania,2007,Democrat
Anibal Acevedo Vilá,Puerto Rico,2007,Democrat
Don Carcieri,Rhode Island,2007,Republican
Mark Sanford,South Carolina,2007,Republican
Mike Rounds,South Dakota,2007,Republican
Phil Bredesen,Tennessee,2007,Democrat
Rick Perry,Texas,2007,Republican
Jon Huntsman,Utah,2007,Republican
Jim Douglas,Vermont,2007,Republican
"John de Jongh, Jr.",Virgin Islands,2007,Democrat
Tim Kaine,Virginia,2007,Democrat
Chris Gregoire,Washington,2007,Democrat
Joe Manchin III,West Virginia,2007,Democrat
Jim Doyle,Wisconsin,2007,Democrat
Dave Freudenthal,Wyoming,2007,Democrat
Bob Riley,Alabama,2006,Republican
Sarah Palin,Alaska,2006,Republican
Togiola T. A. Tulafono,American Samoa,2006,Democrat
Janet Napolitano,Arizona,2006,Democrat
Mike Huckabee,Arkansas,2006,Republican
Arnold Schwarzenegger,California,2006,Republican
Bill Owens,Colorado,2006,Republican
M. Jodi Rell,Connecticut,2006,Republican
Ruth Ann Minner,Delaware,2006,Democrat
Jeb Bush,Florida,2006,Republican
Sonny Perdue,Georgia,2006,Republican
Felix P. Camacho,Guam,2006,Republican
Linda Lingle,Hawaii,2006,Republican
James E. Risch,Idaho,2006,Republican
Rod R. Blagojevich,Illinois,2006,Democrat
Mitch Daniels,Indiana,2006,Republican
Thomas J. Vilsack,Iowa,2006,Democrat
Kathleen Sebelius,Kansas,2006,Democrat
Ernie Fletcher,Kentucky,2006,Republican
Kathleen Babineaux Blanco,Louisiana,2006,Democrat
John E. Baldacci,Maine,2006,Democrat
Robert L. Ehrlich,Maryland,2006,Republican
Mitt Romney,Massachusetts,2006,Republican
Jennifer M. Granholm,Michigan,2006,Democrat
Tim Pawlenty,Minnesota,2006,Republican
Haley Barbour,Mississippi,2006,Republican
Matt Blunt,Missouri,2006,Republican
Brian Schweitzer,Montana,2006,Democrat
Dave Heineman,Nebraska,2006,Republican
Kenny Guinn,Nevada,2006,Republican
John Lynch,New Hampshire,2006,Democrat
Jon Corzine,New Jersey,2006,Democrat
Bill Richardson,New Mexico,2006,Democrat
George E. Pataki,New York,2006,Republican
Michael F. Easley,North Carolina,2006,Democrat
John Hoeven,North Dakota,2006,Republican
Benígno Fitial,Northern Mariana Islands,2006,Republican
Bob Taft,Ohio,2006,Republican
Brad Henry,Oklahoma,2006,Democrat
Ted Kulongoski,Oregon,2006,Democrat
Edward G. Rendell,Pennsylvania,2006,Democrat
Anibal Acevedo Vilá,Puerto Rico,2006,Democrat
Don Carcieri,Rhode Island,2006,Republican
Mark Sanford,South Carolina,2006,Republican
Mike Rounds,South Dakota,2006,Republican
Phil Bredesen,Tennessee,2006,Democrat
Rick Perry,Texas,2006,Republican
Jon Huntsman,Utah,2006,Republican
Jim Douglas,Vermont,2006,Republican
Charles W. Turnbull,Virgin Islands,2006,Democrat
Tim Kaine,Virginia,2006,Democrat
Chris Gregoire,Washington,2006,Democrat
Joe Manchin III,West Virginia,2006,Democrat
Jim Doyle,Wisconsin,2006,Democrat
Dave Freudenthal,Wyoming,2006,Democrat
Bob Riley,Alabama,2005,Republican
Frank H. Murkowski,Alaska,2005,Republican
Togiola T. A. Tulafono,American Samoa,2005,Democrat
Janet Napolitano,Arizona,2005,Democrat
Mike Huckabee,Arkansas,2005,Republican
Arnold Schwarzenegger,California,2005,Republican
Bill Owens,Colorado,2005,Republican
M. Jodi Rell,Connecticut,2005,Republican
Ruth Ann Minner,Delaware,2005,Democrat
Jeb Bush,Florida,2005,Republican
Sonny Perdue,Georgia,2005,Republican
Felix P. Camacho,Guam,2005,Republican
Linda Lingle,Hawaii,2005,Republican
Dirk Kempthorne,Idaho,2005,Republican
Rod R. Blagojevich,Illinois,2005,Democrat
Mitch Daniels,Indiana,2005,Republican
Thomas J. Vilsack,Iowa,2005,Democrat
Kathleen Sebelius,Kansas,2005,Democrat
Ernie Fletcher,Kentucky,2005,Republican
Kathleen Babineaux Blanco,Louisiana,2005,Democrat
John E. Baldacci,Maine,2005,Democrat
Robert L. Ehrlich,Maryland,2005,Republican
Mitt Romney,Massachusetts,2005,Republican
Jennifer M. Granholm,Michigan,2005,Democrat
Tim Pawlenty,Minnesota,2005,Republican
Haley Barbour,Mississippi,2005,Republican
Matt Blunt,Missouri,2005,Republican
Brian Schweitzer,Montana,2005,Democrat
Dave Heineman,Nebraska,2005,Republican
Kenny Guinn,Nevada,2005,Republican
John Lynch,New Hampshire,2005,Democrat
Richard J. Codey,New Jersey,2005,Democrat
Bill Richardson,New Mexico,2005,Democrat
George E. Pataki,New York,2005,Republican
Michael F. Easley,North Carolina,2005,Democrat
John Hoeven,North Dakota,2005,Republican
Juan N. Babauta,Northern Mariana Islands,2005,Republican
Bob Taft,Ohio,2005,Republican
Brad Henry,Oklahoma,2005,Democrat
Ted Kulongoski,Oregon,2005,Democrat
Edward G. Rendell,Pennsylvania,2005,Democrat
Anibal Acevedo Vilá,Puerto Rico,2005,Democrat
Don Carcieri,Rhode Island,2005,Republican
Mark Sanford,South Carolina,2005,Republican
Mike Rounds,South Dakota,2005,Republican
Phil Bredesen,Tennessee,2005,Democrat
Rick Perry,Texas,2005,Republican
Jon Huntsman,Utah,2005,Republican
Jim Douglas,Vermont,2005,Republican
Charles W. Turnbull,Virgin Islands,2005,Democrat
Mark R. Warner,Virginia,2005,Democrat
Chris Gregoire,Washington,2005,Democrat
Joe Manchin III,West Virginia,2005,Democrat
Jim Doyle,Wisconsin,2005,Democrat
Dave Freudenthal,Wyoming,2005,Democrat
Bob Riley,Alabama,2004,Republican
Frank H. Murkowski,Alaska,2004,Republican
Togiola T. A. Tulafono,American Samoa,2004,Democrat
Janet Napolitano,Arizona,2004,Democrat
Mike Huckabee,Arkansas,2004,Republican
Arnold Schwarzenegger,California,2004,Republican
Bill Owens,Colorado,2004,Republican
M. Jodi Rell,Connecticut,2004,Republican
Ruth Ann Minner,Delaware,2004,Democrat
Jeb Bush,Florida,2004,Republican
Sonny Perdue,Georgia,2004,Republican
Felix P. Camacho,Guam,2004,Republican
Linda Lingle,Hawaii,2004,Republican
Dirk Kempthorne,Idaho,2004,Republican
Rod R. Blagojevich,Illinois,2004,Democrat
Joseph E. Kernan,Indiana,2004,Democrat
Thomas J. Vilsack,Iowa,2004,Democrat
Kathleen Sebelius,Kansas,2004,Democrat
Ernie Fletcher,Kentucky,2004,Republican
Kathleen Babineaux Blanco,Louisiana,2004,Democrat
John E. Baldacci,Maine,2004,Democrat
Robert L. Ehrlich,Maryland,2004,Republican
Mitt Romney,Massachusetts,2004,Republican
Jennifer M. Granholm,Michigan,2004,Democrat
Tim Pawlenty,Minnesota,2004,Republican
Haley Barbour,Mississippi,2004,Republican
Robert L. Holden,Missouri,2004,Democrat
Judy Martz,Montana,2004,Republican
Mike Johanns,Nebraska,2004,Republican
Kenny Guinn,Nevada,2004,Republican
Craig Benson,New Hampshire,2004,Republican
Richard J. Codey,New Jersey,2004,Democrat
Bill Richardson,New Mexico,2004,Democrat
George E. Pataki,New York,2004,Republican
Michael F. Easley,North Carolina,2004,Democrat
John Hoeven,North Dakota,2004,Republican
Juan N. Babauta,Northern Mariana Islands,2004,Republican
Bob Taft,Ohio,2004,Republican
Brad Henry,Oklahoma,2004,Democrat
Ted Kulongoski,Oregon,2004,Democrat
Edward G. Rendell,Pennsylvania,2004,Democrat
Sila M. Calderon,Puerto Rico,2004,Popular Democratic Party (Puerto Rico)
Don Carcieri,Rhode Island,2004,Republican
Mark Sanford,South Carolina,2004,Republican
Mike Rounds,South Dakota,2004,Republican
Phil Bredesen,Tennessee,2004,Democrat
Rick Perry,Texas,2004,Republican
Olene Smith Walker,Utah,2004,Republican
Jim Douglas,Vermont,2004,Republican
Charles W. Turnbull,Virgin Islands,2004,Democrat
Mark R. Warner,Virginia,2004,Democrat
Gary Locke,Washington,2004,Democrat
Bob Wise,West Virginia,2004,Democrat
Jim Doyle,Wisconsin,2004,Democrat
Dave Freudenthal,Wyoming,2004,Democrat
Bob Riley,Alabama,2003,Republican
Frank H. Murkowski,Alaska,2003,Republican
Togiola T. A. Tulafono,American Samoa,2003,Democrat
Janet Napolitano,Arizona,2003,Democrat
Mike Huckabee,Arkansas,2003,Republican
Arnold Schwarzenegger,California,2003,Republican
Bill Owens,Colorado,2003,Republican
John G. Rowland,Connecticut,2003,Republican
Ruth Ann Minner,Delaware,2003,Democrat
Jeb Bush,Florida,2003,Republican
Sonny Perdue,Georgia,2003,Republican
Felix P. Camacho,Guam,2003,Republican
Linda Lingle,Hawaii,2003,Republican
Dirk Kempthorne,Idaho,2003,Republican
Rod R. Blagojevich,Illinois,2003,Democrat
Joseph E. Kernan,Indiana,2003,Democrat
Thomas J. Vilsack,Iowa,2003,Democrat
Kathleen Sebelius,Kansas,2003,Democrat
Ernie Fletcher,Kentucky,2003,Republican
Mike Foster,Louisiana,2003,Republican
John E. Baldacci,Maine,2003,Democrat
Robert L. Ehrlich,Maryland,2003,Republican
Mitt Romney,Massachusetts,2003,Republican
Jennifer M. Granholm,Michigan,2003,Democrat
Tim Pawlenty,Minnesota,2003,Republican
"David Ronald ""Ronnie"" Musgrove",Mississippi,2003,Democrat
Robert L. Holden,Missouri,2003,Democrat
Judy Martz,Montana,2003,Republican
Mike Johanns,Nebraska,2003,Republican
Kenny Guinn,Nevada,2003,Republican
Craig Benson,New Hampshire,2003,Republican
James E. McGreevey,New Jersey,2003,Democrat
Bill Richardson,New Mexico,2003,Democrat
George E. Pataki,New York,2003,Republican
Michael F. Easley,North Carolina,2003,Democrat
John Hoeven,North Dakota,2003,Republican
Juan N. Babauta,Northern Mariana Islands,2003,Republican
Bob Taft,Ohio,2003,Republican
Brad Henry,Oklahoma,2003,Democrat
Ted Kulongoski,Oregon,2003,Democrat
Edward G. Rendell,Pennsylvania,2003,Democrat
Sila M. Calderon,Puerto Rico,2003,Popular Democratic Party (Puerto Rico)
Don Carcieri,Rhode Island,2003,Republican
Mark Sanford,South Carolina,2003,Republican
Mike Rounds,South Dakota,2003,Republican
Phil Bredesen,Tennessee,2003,Democrat
Rick Perry,Texas,2003,Republican
Olene Smith Walker,Utah,2003,Republican
Jim Douglas,Vermont,2003,Republican
Charles W. Turnbull,Virgin Islands,2003,Democrat
Mark R. Warner,Virginia,2003,Democrat
Gary Locke,Washington,2003,Democrat
Bob Wise,West Virginia,2003,Democrat
Jim Doyle,Wisconsin,2003,Democrat
Dave Freudenthal,Wyoming,2003,Democrat
Donald Eugene Siegelman,Alabama,2002,Democrat
Frank H. Murkowski,Alaska,2002,Republican
Tauese P. F. Sunia,American Samoa,2002,Democrat
Jane Dee Hull,Arizona,2002,Republican
Mike Huckabee,Arkansas,2002,Republican
Gray Davis,California,2002,Democrat
Bill Owens,Colorado,2002,Republican
John G. Rowland,Connecticut,2002,Republican
Ruth Ann Minner,Delaware,2002,Democrat
Jeb Bush,Florida,2002,Republican
Roy E. Barnes,Georgia,2002,Democrat
Carl T. C. Gutierrez,Guam,2002,Democrat
Linda Lingle,Hawaii,2002,Republican
Dirk Kempthorne,Idaho,2002,Republican
George H. Ryan,Illinois,2002,Republican
Frank O'Bannon,Indiana,2002,Democrat
Thomas J. Vilsack,Iowa,2002,Democrat
Bill Graves,Kansas,2002,Republican
Paul E. Patton,Kentucky,2002,Democrat
Mike Foster,Louisiana,2002,Republican
Angus S. King,Maine,2002,Independent
Parris N. Glendening,Maryland,2002,Democrat
Jane Maria Swift,Massachusetts,2002,Republican
John Engler,Michigan,2002,Republican
Jesse Ventura,Minnesota,2002,Independent
"David Ronald ""Ronnie"" Musgrove",Mississippi,2002,Democrat
Robert L. Holden,Missouri,2002,Democrat
Judy Martz,Montana,2002,Republican
Mike Johanns,Nebraska,2002,Republican
Kenny Guinn,Nevada,2002,Republican
Jeanne Shaheen,New Hampshire,2002,Democrat
James E. McGreevey,New Jersey,2002,Democrat
Gary E. Johnson,New Mexico,2002,Republican
George E. Pataki,New York,2002,Republican
Michael F. Easley,North Carolina,2002,Democrat
John Hoeven,North Dakota,2002,Republican
Juan N. Babauta,Northern Mariana Islands,2002,Republican
Bob Taft,Ohio,2002,Republican
Francis Anthony Keating,Oklahoma,2002,Republican
"John A. Kitzhaber, M.D.",Oregon,2002,Democrat
Mark Schweiker,Pennsylvania,2002,Republican
Sila M. Calderon,Puerto Rico,2002,Popular Democratic Party (Puerto Rico)
Lincoln Almond,Rhode Island,2002,Republican
Jim Hodges,South Carolina,2002,Democrat
William J. Janklow,South Dakota,2002,Republican
Don Sundquist,Tennessee,2002,Republican
Rick Perry,Texas,2002,Republican
Michael Okerlund Leavitt,Utah,2002,Republican
Howard Dean,Vermont,2002,Democrat
Charles W. Turnbull,Virgin Islands,2002,Democrat
Mark R. Warner,Virginia,2002,Democrat
Gary Locke,Washington,2002,Democrat
Bob Wise,West Virginia,2002,Democrat
Scott McCallum,Wisconsin,2002,Republican
Jim Geringer,Wyoming,2002,Republican
Donald Eugene Siegelman,Alabama,2001,Democrat
Tony Knowles,Alaska,2001,Democrat
Tauese P. F. Sunia,American Samoa,2001,Democrat
Jane Dee Hull,Arizona,2001,Republican
Mike Huckabee,Arkansas,2001,Republican
Gray Davis,California,2001,Democrat
Bill Owens,Colorado,2001,Republican
John G. Rowland,Connecticut,2001,Republican
Ruth Ann Minner,Delaware,2001,Democrat
Jeb Bush,Florida,2001,Republican
Roy E. Barnes,Georgia,2001,Democrat
Carl T. C. Gutierrez,Guam,2001,Democrat
Benjamin J. Cayetano,Hawaii,2001,Democrat
Dirk Kempthorne,Idaho,2001,Republican
George H. Ryan,Illinois,2001,Republican
Frank O'Bannon,Indiana,2001,Democrat
Thomas J. Vilsack,Iowa,2001,Democrat
Bill Graves,Kansas,2001,Republican
Paul E. Patton,Kentucky,2001,Democrat
Mike Foster,Louisiana,2001,Republican
Angus S. King,Maine,2001,Independent
Parris N. Glendening,Maryland,2001,Democrat
Jane Maria Swift,Massachusetts,2001,Republican
John Engler,Michigan,2001,Republican
Jesse Ventura,Minnesota,2001,Independent
"David Ronald ""Ronnie"" Musgrove",Mississippi,2001,Democrat
Robert L. Holden,Missouri,2001,Democrat
Judy Martz,Montana,2001,Republican
Mike Johanns,Nebraska,2001,Republican
Kenny Guinn,Nevada,2001,Republican
Jeanne Shaheen,New Hampshire,2001,Democrat
Donald T. DiFrancesco,New Jersey,2001,Republican
Gary E. Johnson,New Mexico,2001,Republican
George E. Pataki,New York,2001,Republican
Michael F. Easley,North Carolina,2001,Democrat
John Hoeven,North Dakota,2001,Republican
Pedro P. Tenorio,Northern Mariana Islands,2001,Republican
Bob Taft,Ohio,2001,Republican
Francis Anthony Keating,Oklahoma,2001,Republican
"John A. Kitzhaber, M.D.",Oregon,2001,Democrat
Mark Schweiker,Pennsylvania,2001,Republican
Sila M. Calderon,Puerto Rico,2001,Popular Democratic Party (Puerto Rico)
Lincoln Almond,Rhode Island,2001,Republican
Jim Hodges,South Carolina,2001,Democrat
William J. Janklow,South Dakota,2001,Republican
Don Sundquist,Tennessee,2001,Republican
Rick Perry,Texas,2001,Republican
Michael Okerlund Leavitt,Utah,2001,Republican
Howard Dean,Vermont,2001,Democrat
Charles W. Turnbull,Virgin Islands,2001,Democrat
James S. Gilmore,Virginia,2001,Republican
Gary Locke,Washington,2001,Democrat
Bob Wise,West Virginia,2001,Democrat
Scott McCallum,Wisconsin,2001,Republican
Jim Geringer,Wyoming,2001,Republican
Donald Eugene Siegelman,Alabama,2000,Democrat
Tony Knowles,Alaska,2000,Democrat
Tauese P. F. Sunia,American Samoa,2000,Democrat
Jane Dee Hull,Arizona,2000,Republican
Mike Huckabee,Arkansas,2000,Republican
Gray Davis,California,2000,Democrat
Bill Owens,Colorado,2000,Republican
John G. Rowland,Connecticut,2000,Republican
Thomas R. Carper,Delaware,2000,Democrat
Jeb Bush,Florida,2000,Republican
Roy E. Barnes,Georgia,2000,Democrat
Carl T. C. Gutierrez,Guam,2000,Democrat
Benjamin J. Cayetano,Hawaii,2000,Democrat
Dirk Kempthorne,Idaho,2000,Republican
George H. Ryan,Illinois,2000,Republican
Frank O'Bannon,Indiana,2000,Democrat
Thomas J. Vilsack,Iowa,2000,Democrat
Bill Graves,Kansas,2000,Republican
Paul E. Patton,Kentucky,2000,Democrat
Mike Foster,Louisiana,2000,Republican
Angus S. King,Maine,2000,Independent
Parris N. Glendening,Maryland,2000,Democrat
Argeo Paul Cellucci,Massachusetts,2000,Republican
John Engler,Michigan,2000,Republican
Jesse Ventura,Minnesota,2000,Independent
"David Ronald ""Ronnie"" Musgrove",Mississippi,2000,Democrat
Robert L. Holden,Missouri,2000,Democrat
Marc Racicot,Montana,2000,Republican
Mike Johanns,Nebraska,2000,Republican
Kenny Guinn,Nevada,2000,Republican
Jeanne Shaheen,New Hampshire,2000,Democrat
Christine Todd Whitman,New Jersey,2000,Republican
Gary E. Johnson,New Mexico,2000,Republican
George E. Pataki,New York,2000,Republican
James B. Hunt,North Carolina,2000,Democrat
John Hoeven,North Dakota,2000,Republican
Pedro P. Tenorio,Northern Mariana Islands,2000,Republican
Bob Taft,Ohio,2000,Republican
Francis Anthony Keating,Oklahoma,2000,Republican
"John A. Kitzhaber, M.D.",Oregon,2000,Democrat
Tom Ridge,Pennsylvania,2000,Republican
Pedro Rossello,Puerto Rico,2000,New Progressive Party (Puerto Rico)
Lincoln Almond,Rhode Island,2000,Republican
Jim Hodges,South Carolina,2000,Democrat
William J. Janklow,South Dakota,2000,Republican
Don Sundquist,Tennessee,2000,Republican
Rick Perry,Texas,2000,Republican
Michael Okerlund Leavitt,Utah,2000,Republican
Howard Dean,Vermont,2000,Democrat
Charles W. Turnbull,Virgin Islands,2000,Democrat
James S. Gilmore,Virginia,2000,Republican
Gary Locke,Washington,2000,Democrat
Cecil H. Underwood,West Virginia,2000,Republican
Tommy G. Thompson,Wisconsin,2000,Republican
Jim Geringer,Wyoming,2000,Republican
Donald Eugene Siegelman,Alabama,1999,Democrat
Tony Knowles,Alaska,1999,Democrat
Tauese P. F. Sunia,American Samoa,1999,Democrat
Jane Dee Hull,Arizona,1999,Republican
Mike Huckabee,Arkansas,1999,Republican
Gray Davis,California,1999,Democrat
Bill Owens,Colorado,1999,Republican
John G. Rowland,Connecticut,1999,Republican
Thomas R. Carper,Delaware,1999,Democrat
Jeb Bush,Florida,1999,Republican
Roy E. Barnes,Georgia,1999,Democrat
Carl T. C. Gutierrez,Guam,1999,Democrat
Benjamin J. Cayetano,Hawaii,1999,Democrat
Dirk Kempthorne,Idaho,1999,Republican
George H. Ryan,Illinois,1999,Republican
Frank O'Bannon,Indiana,1999,Democrat
Thomas J. Vilsack,Iowa,1999,Democrat
Bill Graves,Kansas,1999,Republican
Paul E. Patton,Kentucky,1999,Democrat
Mike Foster,Louisiana,1999,Republican
Angus S. King,Maine,1999,Independent
Parris N. Glendening,Maryland,1999,Democrat
Argeo Paul Cellucci,Massachusetts,1999,Republican
John Engler,Michigan,1999,Republican
Jesse Ventura,Minnesota,1999,Independent
Daniel Kirkwood Fordice,Mississippi,1999,Republican
Mel Eugene Carnahan,Missouri,1999,Democrat
Marc Racicot,Montana,1999,Republican
Mike Johanns,Nebraska,1999,Republican
Kenny Guinn,Nevada,1999,Republican
Jeanne Shaheen,New Hampshire,1999,Democrat
Christine Todd Whitman,New Jersey,1999,Republican
Gary E. Johnson,New Mexico,1999,Republican
George E. Pataki,New York,1999,Republican
James B. Hunt,North Carolina,1999,Democrat
Edward Thomas Schafer,North Dakota,1999,Republican
Pedro P. Tenorio,Northern Mariana Islands,1999,Republican
Bob Taft,Ohio,1999,Republican
Francis Anthony Keating,Oklahoma,1999,Republican
"John A. Kitzhaber, M.D.",Oregon,1999,Democrat
Tom Ridge,Pennsylvania,1999,Republican
Pedro Rossello,Puerto Rico,1999,New Progressive Party (Puerto Rico)
Lincoln Almond,Rhode Island,1999,Republican
Jim Hodges,South Carolina,1999,Democrat
William J. Janklow,South Dakota,1999,Republican
Don Sundquist,Tennessee,1999,Republican
George W. Bush,Texas,1999,Republican
Michael Okerlund Leavitt,Utah,1999,Republican
Howard Dean,Vermont,1999,Democrat
Charles W. Turnbull,Virgin Islands,1999,Democrat
James S. Gilmore,Virginia,1999,Republican
Gary Locke,Washington,1999,Democrat
Cecil H. Underwood,West Virginia,1999,Republican
Tommy G. Thompson,Wisconsin,1999,Republican
Jim Geringer,Wyoming,1999,Republican
Forrest Hood James,Alabama,1998,Republican
Tony Knowles,Alaska,1998,Democrat
Tauese P. F. Sunia,American Samoa,1998,Democrat
Jane Dee Hull,Arizona,1998,Republican
Mike Huckabee,Arkansas,1998,Republican
Pete Wilson,California,1998,Republican
Roy Romer,Colorado,1998,Democrat
John G. Rowland,Connecticut,1998,Republican
Thomas R. Carper,Delaware,1998,Democrat
Kenneth Hood Mackay,Florida,1998,Democrat
Zell Miller,Georgia,1998,Democrat
Carl T. C. Gutierrez,Guam,1998,Democrat
Benjamin J. Cayetano,Hawaii,1998,Democrat
